Title	Category	Venue	Duration	Times	Dates	Book Tickets	Group Name
8 Songs	"Dance, Physical Theatre and Circus"	Assembly Roxy	1 hour	16:40	"11 Aug, 12 Aug, 13 Aug, 14 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 20 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug, 27 Aug"	https://www.edfringe.com/whats-on/8-songs	Gandini Juggling
After the Cuts	Theatre	Summerhall	1 hour	12:00	"11 Aug, 12 Aug, 14 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug"	https://www.edfringe.com/whats-on/after-the-cuts	Raw Material Arts Ltd In association with The Beacon
Artist	"Dance, Physical Theatre and Circus"	Assembly Roxy	55 minutes	16:20	"11 Aug, 12 Aug, 13 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 20 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug, 27 Aug"	https://www.edfringe.com/whats-on/artist	Circo Aereo and Thom Monckton
Attila the Stockbroker – Ancient and Modern	Spoken Word	Bannermans	1 hour	16:15	"20 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug"	https://www.edfringe.com/whats-on/attila-the-stockbroker-ancient-and-modern	Attila the Stockbroker / PBH's Free Fringe
Attrape Moi	"Dance, Physical Theatre and Circus"	Assembly Hall	1 hour	17:30	"12 Aug, 14 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug, 27 Aug"	https://www.edfringe.com/whats-on/attrape-moi	Flip FabriQue in association with Assembly Festival
Austentatious	Comedy	"Underbelly, Bristo Square"	1 hour	13:10	"15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 20 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug"	https://www.edfringe.com/whats-on/austentatious	Underbelly and Austentatious
Caspar Thomas: More Magic and Mentalism	Cabaret and Variety	Hispaniola	1 hour	15:50	"12 Aug, 13 Aug, 14 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 20 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug"	https://www.edfringe.com/whats-on/caspar-thomas-more-magic-and-mentalism	Caspar Thomas / PBH's Free Fringe
Daughter	Theatre	CanadaHub @ King's Hall in association with Summerhall	1 hour 10 minutes	12:30	"12 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug"	https://www.edfringe.com/whats-on/daughter	Adam Lazarus
Dome Nights: Dark Side of the Moon – Inspired by the Music of Pink Floyd	Music	Dynamic Earth	45 minutes	"18:30, 20:30"	"11 Aug, 11 Aug, 12 Aug, 12 Aug, 13 Aug, 13 Aug, 14 Aug, 14 Aug, 19 Aug, 19 Aug, 20 Aug, 20 Aug, 23 Aug, 23 Aug, 24 Aug, 24 Aug, 25 Aug, 25 Aug, 26 Aug, 26 Aug, 27 Aug, 27 Aug, 15 Aug, 15 Aug, 17 Aug, 17 Aug, 22 Aug, 22 Aug"	https://www.edfringe.com/whats-on/dome-nights-dark-side-of-the-moon-inspired-by-the-music-of-pink-floyd	Dynamic Earth
Everything Not Saved	Theatre	Summerhall	1 hour	17:50	"12 Aug, 14 Aug, 15 Aug, 16 Aug, 17 Aug, 18 Aug, 19 Aug, 21 Aug, 22 Aug, 23 Aug, 24 Aug, 25 Aug, 26 Aug"	https://www.edfringe.com/whats-on/everything-not-saved	Malaprop Theatre
